1	2	PROMOTES	0.0014120298554189503
1	3	PROMOTES	0.0003095022340858122
2	1	PROMOTES	0.0024678508983924986
2	3	PROMOTES	0.0008923331279220292
3	1	PROMOTES	8.986259963421616e-05
3	2	PROMOTES	0.0001807669541449286
1	2	INHIBITS	0.001064818346640095
1	3	INHIBITS	0.00019399931989028119
2	1	INHIBITS	0.0015912840142846107
2	3	INHIBITS	0.0015135468158405272
3	1	INHIBITS	6.021082299412228e-05
3	2	INHIBITS	0.00010469214030308648
1	2	DOES_NOT_PROMOTE	0.0033334632404148578
1	3	DOES_NOT_PROMOTE	0.00011831362935481593
2	1	DOES_NOT_PROMOTE	0.0010577302717138081
2	3	DOES_NOT_PROMOTE	0.00012760571316903222
3	1	DOES_NOT_PROMOTE	0.00015895725518930704
3	2	DOES_NOT_PROMOTE	0.0006377477664500476
1	2	DOES_NOT_INHIBT	0.0018951385747641325
1	3	DOES_NOT_INHIBT	9.948154547601007e-05
2	1	DOES_NOT_INHIBT	0.001705461216624826
2	3	DOES_NOT_INHIBT	0.0001782090013875859
3	1	DOES_NOT_INHIBT	0.0002464268181938678
3	2	DOES_NOT_INHIBT	0.000316145271062851
